Name,Team,College,Salary,Height,Weight,Age,Position,College_for_count,Player_Count
Mario Hezonja,Orlando Magic,,3741480.0,6-8,218,21,Sg,,
Jamychal Green,Memphis Grizzlies,Alabama,845059.0,6-9,227,25,Pf,,
Mo Williams,Cleveland Cavaliers,Alabama,2100000.0,6-1,198,33,Pg,,
Alonzo Gee,New Orleans Pelicans,Alabama,1320000.0,6-6,225,29,Sf,,
Jordan Hill,Indiana Pacers,Arizona,4000000.0,6-10,235,28,C,,
Channing Frye,Cleveland Cavaliers,Arizona,8193029.0,6-11,255,33,Pf,,
Derrick Williams,New York Knicks,Arizona,4000000.0,6-8,240,25,Pf,,
Aaron Gordon,Orlando Magic,Arizona,4171680.0,6-9,220,20,Pf,,
T.J. Mcconnell,Philadelphia 76ers,Arizona,525093.0,6-2,200,24,Pg,,
Jerryd Bayless,Milwaukee Bucks,Arizona,3000000.0,6-3,200,27,Pg,,
Andre Iguodala,Golden State Warriors,Arizona,11710456.0,6-6,215,32,Sf,,
Chase Budinger,Phoenix Suns,Arizona,206192.0,6-7,209,28,Sf,,
Richard Jefferson,Cleveland Cavaliers,Arizona,947276.0,6-7,233,35,Sf,,
Stanley Johnson,Detroit Pistons,Arizona,2841960.0,6-7,245,20,Sf,,
Solomon Hill,Indiana Pacers,Arizona,1358880.0,6-7,225,25,Sf,,
Jason Terry,Houston Rockets,Arizona,947276.0,6-2,185,38,Sg,,
Rondae Hollis-Jefferson,Brooklyn Nets,Arizona,1335480.0,6-7,220,21,Sg,,
Jeff Ayres,Los Angeles Clippers,Arizona State,111444.0,6-9,250,29,Pf,,
James Harden,Houston Rockets,Arizona State,15756438.0,6-5,220,26,Sg,,
Bobby Portis,Chicago Bulls,Arkansas,1391160.0,6-11,230,21,Pf,,
Patrick Beverley,Houston Rockets,Arkansas,6486486.0,6-1,185,27,Pg,,
Joe Johnson,Miami Heat,Arkansas,261894.0,6-7,240,34,Sf,,
Quincy Acy,Sacramento Kings,Baylor,981348.0,6-7,240,25,Sf,,
Ian Clark,Golden State Warriors,Belmont,947276.0,6-3,175,25,Sg,,
Chris Andersen,Memphis Grizzlies,Blinn College,5000000.0,6-10,245,37,Pf,,
Reggie Jackson,Detroit Pistons,Boston College,13913044.0,6-3,208,26,Pg,,
Jared Dudley,Washington Wizards,Boston College,4375000.0,6-7,225,30,Sf,,
Richaun Holmes,Philadelphia 76ers,Bowling Green,1074169.0,6-10,245,22,Pf,,
Mike Muscala,Atlanta Hawks,Bucknell,947276.0,6-11,240,24,Pf,,
Shelvin Mack,Utah Jazz,Butler,2433333.0,6-3,203,26,Pg,,
Gordon Hayward,Utah Jazz,Butler,15409570.0,6-8,226,26,Sf,,
Ryan Anderson,New Orleans Pelicans,California,8500000.0,6-10,240,28,Pf,,
Jorge Gutierrez,Charlotte Hornets,California,189455.0,6-3,189,27,Pg,,
Allen Crabbe,Portland Trail Blazers,California,947276.0,6-6,210,24,Sg,,
Chris Kaman,Portland Trail Blazers,Central Michigan,5016000.0,7-0,265,34,C,,
Andrew Goudelock,Houston Rockets,Charleston,200600.0,6-3,200,27,Pg,,
Lance Stephenson,Memphis Grizzlies,Cincinnati,9000000.0,6-5,230,25,Sf,,
Sean Kilpatrick,Brooklyn Nets,Cincinnati,134215.0,6-4,219,26,Sg,,
Trevor Booker,Utah Jazz,Clemson,4775000.0,6-8,228,28,Pf,,
K.J. Mcdaniels,Houston Rockets,Clemson,3189794.0,6-6,205,23,Sg,,
Norris Cole,New Orleans Pelicans,Cleveland State,3036927.0,6-2,175,27,Pg,,
Spencer Dinwiddie,Detroit Pistons,Colorado,845059.0,6-6,200,23,Pg,,
Alec Burks,Utah Jazz,Colorado,9463484.0,6-6,214,24,Sg,,
Andre Roberson,Oklahoma City Thunder,Colorado,1210800.0,6-7,210,24,Sg,,
Jason Smith,Orlando Magic,Colorado State,4300000.0,7-0,240,30,Pf,,
Andre Drummond,Detroit Pistons,Connecticut,3272091.0,6-11,279,22,C,,
Charlie Villanueva,Dallas Mavericks,Connecticut,947276.0,6-11,232,31,Pf,,
Kemba Walker,Charlotte Hornets,Connecticut,12000000.0,6-1,184,26,Pg,,
Shabazz Napier,Orlando Magic,Connecticut,1294440.0,6-1,175,24,Pg,,
Caron Butler,Sacramento Kings,Connecticut,1449187.0,6-7,228,36,Sf,,
Rudy Gay,Sacramento Kings,Connecticut,12403101.0,6-8,230,29,Sf,,
Jeremy Lamb,Charlotte Hornets,Connecticut,3034356.0,6-5,185,24,Sg,,
Anthony Tolliver,Detroit Pistons,Creighton,3000000.0,6-8,240,31,Pf,,
Doug Mcdermott,Chicago Bulls,Creighton,2380440.0,6-8,225,24,Sf,,
Kyle Korver,Atlanta Hawks,Creighton,5746479.0,6-7,212,35,Sg,,
Stephen Curry,Golden State Warriors,Davidson,11370786.0,6-3,190,28,Pg,,
Brian Roberts,Portland Trail Blazers,Dayton,2854940.0,6-1,173,30,Pg,,
Chris Johnson,Utah Jazz,Dayton,981348.0,6-6,206,26,Sf,,
Wilson Chandler,Denver Nuggets,Depaul,10449438.0,6-8,225,29,Sf,,
Jahlil Okafor,Philadelphia 76ers,Duke,4582680.0,6-11,275,20,C,,
Miles Plumlee,Milwaukee Bucks,Duke,2109294.0,6-11,249,27,C,,
Mason Plumlee,Portland Trail Blazers,Duke,1415520.0,6-11,235,26,C,,
Josh Mcroberts,Miami Heat,Duke,5543725.0,6-10,240,29,Pf,,
Ryan Kelly,Los Angeles Lakers,Duke,1724250.0,6-11,230,25,Pf,,
Jabari Parker,Milwaukee Bucks,Duke,5152440.0,6-8,250,21,Pf,,
Tyus Jones,Minnesota Timberwolves,Duke,1282080.0,6-2,195,20,Pg,,
Kyrie Irving,Cleveland Cavaliers,Duke,16407501.0,6-3,193,24,Pg,,
Austin Rivers,Los Angeles Clippers,Duke,3110796.0,6-4,200,23,Pg,,
Justise Winslow,Miami Heat,Duke,2481720.0,6-7,225,20,Sf,,
Lance Thomas,New York Knicks,Duke,1636842.0,6-8,235,28,Sf,,
Kyle Singler,Oklahoma City Thunder,Duke,4500000.0,6-8,228,28,Sf,,
Luol Deng,Miami Heat,Duke,10151612.0,6-9,220,31,Sf,,
Seth Curry,Sacramento Kings,Duke,947276.0,6-2,185,25,Sg,,
Jj Redick,Los Angeles Clippers,Duke,7085000.0,6-4,190,31,Sg,,
Gerald Henderson,Portland Trail Blazers,Duke,6000000.0,6-5,215,28,Sg,,
Rodney Hood,Utah Jazz,Duke,1348440.0,6-8,206,23,Sg,,
Mike Dunleavy,Chicago Bulls,Duke,4500000.0,6-9,230,35,Sg,,
Rodney Stuckey,Indiana Pacers,Eastern Washington,7000000.0,6-5,205,30,Pg,,
Marreese Speights,Golden State Warriors,Florida,3815000.0,6-10,255,28,C,,
Matt Bonner,San Antonio Spurs,Florida,947276.0,6-10,235,36,C,,
Al Horford,Atlanta Hawks,Florida,12000000.0,6-10,245,30,C,,
Joakim Noah,Chicago Bulls,Florida,13400000.0,6-11,232,31,C,,
Udonis Haslem,Miami Heat,Florida,2854940.0,6-8,235,36,Pf,,
David Lee,Dallas Mavericks,Florida,2085671.0,6-9,245,33,Pf,,
Chandler Parsons,Dallas Mavericks,Florida,15361500.0,6-10,230,27,Sf,,
Bradley Beal,Washington Wizards,Florida,5694674.0,6-5,207,22,Sg,,
Mike Miller,Denver Nuggets,Florida,947276.0,6-8,218,36,Sg,,
Corey Brewer,Houston Rockets,Florida,8229375.0,6-9,186,30,Sg,,
Toney Douglas,New Orleans Pelicans,Florida State,1164858.0,6-2,195,30,Pg,,
Paul George,Indiana Pacers,Fresno State,17120106.0,6-9,220,26,Sf,,
Tyler Johnson,Miami Heat,Fresno State,845059.0,6-4,186,24,Sg,,
Henry Sims,Brooklyn Nets,Georgetown,947276.0,6-10,248,26,C,,
Greg Monroe,Milwaukee Bucks,Georgetown,16407500.0,6-11,265,26,C,,
Roy Hibbert,Los Angeles Lakers,Georgetown,15592217.0,7-2,270,29,C,,
Otto Porter Jr.,Washington Wizards,Georgetown,4662960.0,6-8,198,23,Sf,,
Jeff Green,Los Angeles Clippers,Georgetown,9650000.0,6-9,235,29,Sf,,
Hollis Thompson,Philadelphia 76ers,Georgetown,947276.0,6-8,206,25,Sg,,
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2891760.0,6-5,205,23,Sg,,
R.J. Hunter,Boston Celtics,Georgia State,1148640.0,6-5,185,22,Sg,,
Derrick Favors,Utah Jazz,Georgia Tech,12000000.0,6-10,265,24,Pf,,
Chris Bosh,Miami Heat,Georgia Tech,22192730.0,6-11,235,32,Pf,,
Thaddeus Young,Brooklyn Nets,Georgia Tech,11235955.0,6-8,221,27,Pf,,
Jarrett Jack,Brooklyn Nets,Georgia Tech,6300000.0,6-3,200,32,Pg,,
Iman Shumpert,Cleveland Cavaliers,Georgia Tech,8988765.0,6-5,220,25,Sg,,
Anthony Morrow,Oklahoma City Thunder,Georgia Tech,3344000.0,6-5,210,30,Sg,,
Kelly Olynyk,Boston Celtics,Gonzaga,2165160.0,7-0,238,25,C,,
Robert Sacre,Los Angeles Lakers,Gonzaga,981348.0,7-0,270,27,C,,
Jeremy Lin,Charlotte Hornets,Harvard,2139000.0,6-3,200,27,Pg,,
Jonathon Simmons,San Antonio Spurs,Houston,525093.0,6-6,195,26,Sg,,
Meyers Leonard,Portland Trail Blazers,Illinois,3075880.0,7-1,245,24,Pf,,
Deron Williams,Dallas Mavericks,Illinois,5378974.0,6-3,200,31,Pg,,
Cody Zeller,Charlotte Hornets,Indiana,4204200.0,7-0,240,23,C,,
Noah Vonleh,Portland Trail Blazers,Indiana,2637720.0,6-9,240,20,Pf,,
Eric Gordon,New Orleans Pelicans,Indiana,15514031.0,6-4,215,27,Sg,,
Victor Oladipo,Orlando Magic,Indiana,5192520.0,6-4,210,24,Sg,,
Devyn Marble,Orlando Magic,Iowa,845059.0,6-6,200,23,Sf,,
Bryce Dejean-Jones,New Orleans Pelicans,Iowa State,169883.0,6-6,203,23,Sg,,
George Hill,Indiana Pacers,Iupui,8000000.0,6-3,188,30,Pg,,
Cole Aldrich,Los Angeles Clippers,Kansas,1100602.0,6-11,250,27,C,,
Sasha Kaun,Cleveland Cavaliers,Kansas,1276000.0,6-11,260,31,C,,
Tarik Black,Los Angeles Lakers,Kansas,845059.0,6-9,250,24,C,,
Joel Embiid,Philadelphia 76ers,Kansas,4626960.0,7-0,250,22,C,,
Jeff Withey,Utah Jazz,Kansas,947276.0,7-0,231,26,C,,
Thomas Robinson,Brooklyn Nets,Kansas,981348.0,6-10,237,25,Pf,,
Drew Gooden,Washington Wizards,Kansas,3300000.0,6-10,250,34,Pf,,
Markieff Morris,Washington Wizards,Kansas,8000000.0,6-10,245,26,Pf,,
Nick Collison,Oklahoma City Thunder,Kansas,3750000.0,6-10,255,35,Pf,,
Cliff Alexander,Portland Trail Blazers,Kansas,525093.0,6-8,240,20,Pf,,
Marcus Morris,Detroit Pistons,Kansas,5000000.0,6-9,235,26,Pf,,
Darrell Arthur,Denver Nuggets,Kansas,2814000.0,6-9,235,28,Pf,,
Brandon Rush,Golden State Warriors,Kansas,1270964.0,6-6,220,30,Sf,,
Paul Pierce,Los Angeles Clippers,Kansas,3376000.0,6-7,235,38,Sf,,
Kelly Oubre Jr.,Washington Wizards,Kansas,1920240.0,6-7,205,20,Sf,,
Kirk Hinrich,Atlanta Hawks,Kansas,2854940.0,6-4,190,35,Sg,,
Ben Mclemore,Sacramento Kings,Kansas,3156600.0,6-5,195,23,Sg,,
Andrew Wiggins,Minnesota Timberwolves,Kansas,5758680.0,6-8,199,21,Sg,,
Michael Beasley,Houston Rockets,Kansas State,306527.0,6-10,235,27,Sf,,
Nazr Mohammed,Oklahoma City Thunder,Kentucky,222888.0,6-10,250,38,C,,
